entity,year,nombre
CAQ,2015.0,1521
CAQ,2016.0,2422
CAQ,2017.0,3257
CAQ,2018.0,7716
CAQ,2019.0,8432
CAQ,2020.0,7852
CAQ,2021.0,9473
CAQ,2022.0,1269
PCQ,2015.0,133
PCQ,2016.0,73
PCQ,2017.0,103
PCQ,2018.0,345
PCQ,2019.0,88
PCQ,2020.0,1397
PCQ,2021.0,7162
PCQ,2022.0,7438
PLQ,2015.0,11729
PLQ,2016.0,10845
PLQ,2017.0,9094
PLQ,2018.0,8648
PLQ,2019.0,4485
PLQ,2020.0,3916
PLQ,2021.0,4043
PLQ,2022.0,889
PQ,2015.0,12843
PQ,2016.0,16485
PQ,2017.0,14709
PQ,2018.0,13915
PQ,2019.0,7087
PQ,2020.0,6034
PQ,2021.0,7171
PQ,2022.0,2975
QS,2015.0,3415
QS,2016.0,3582
QS,2017.0,4764
QS,2018.0,7906
QS,2019.0,3596
QS,2020.0,3910
QS,2021.0,4844
QS,2022.0,1949
