entity,year,nombre
CAQ,2015.0,133379.99
CAQ,2016.0,200084.0
CAQ,2017.0,262836.0
CAQ,2018.0,1080936.43
CAQ,2019.0,785704.0
CAQ,2020.0,695823.5
CAQ,2021.0,791985.69
CAQ,2022.0,175804.0
PCQ,2015.0,10985.0
PCQ,2016.0,5827.0
PCQ,2017.0,8634.0
PCQ,2018.0,43104.06
PCQ,2019.0,8161.13
PCQ,2020.0,51551.479999999996
PCQ,2021.0,308368.8
PCQ,2022.0,388647.92
PLQ,2015.0,958085.05
PLQ,2016.0,923944.57
PLQ,2017.0,791083.13
PLQ,2018.0,1080290.58
PLQ,2019.0,361929.43
PLQ,2020.0,308810.15
PLQ,2021.0,324421.47
PLQ,2022.0,114635.23
PQ,2015.0,751293.2
PQ,2016.0,899841.0
PQ,2017.0,849071.4
PQ,2018.0,1330535.07
PQ,2019.0,450619.6
PQ,2020.0,404784.71
PQ,2021.0,503320.97
PQ,2022.0,319011.27
QS,2015.0,245184.69
QS,2016.0,260403.41
QS,2017.0,340434.18
QS,2018.0,767950.23
QS,2019.0,257212.85
QS,2020.0,265599.16
QS,2021.0,343188.13
QS,2022.0,237688.98
